file,sex,age,hairColor,eyeColor,skinTone,faceShape,noseStructure,lipStructure,cheekboneStructure,yaw_error
3510.jpg,male,more than 70,black,brown,dark,round,straight,medium,soft,0.008
577.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.008
6193.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.008
6605.jpg,female,50-59,black,brown,brown,square,straight,medium,soft,0.008
6630.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.008
8968.jpg,female,3-9,black,brown,medium,round,straight,medium,soft,0.008
10348.jpg,female,40-49,black,brown,dark,round,straight,medium,soft,0.009
10798.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.009
10834.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.009
1612.jpg,female,60-69,black,brown,brown,round,straight,medium,soft,0.009
1633.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.009
3065.jpg,male,more than 70,black,brown,fair,round,straight,medium,soft,0.009
444.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.009
6567.jpg,male,10-19,black,brown,dark,square,straight,medium,soft,0.009
8557.jpg,male,20-29,black,brown,brown,square,straight,medium,soft,0.009
10084.jpg,male,40-49,black,brown,dark,round,straight,medium,soft,0.01
10440.jpg,female,30-39,black,brown,brown,square,straight,medium,soft,0.01
3825.jpg,male,3-9,black,brown,medium,round,straight,medium,soft,0.01
5210.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.01
5837.jpg,female,30-39,black,brown,dark,round,straight,medium,soft,0.01
10289.jpg,male,40-49,black,brown,olive,square,straight,medium,soft,0.011
1033.jpg,female,20-29,black,brown,medium,oval,straight,medium,high,0.011
1082.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.011
2001.jpg,male,10-19,black,brown,olive,round,straight,medium,soft,0.011
3223.jpg,male,40-49,black,brown,dark,round,straight,medium,soft,0.011
4436.jpg,female,10-19,black,brown,fair,square,straight,medium,soft,0.011
5974.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.011
6712.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.011
7733.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.011
7927.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.011
8006.jpg,male,10-19,black,brown,brown,round,straight,medium,soft,0.011
8291.jpg,female,0-2,black,brown,fair,round,straight,medium,soft,0.011
10685.jpg,female,20-29,black,brown,dark,square,straight,medium,soft,0.012
2552.jpg,female,60-69,black,brown,olive,round,straight,medium,soft,0.012
4883.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.012
5161.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.012
5221.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.012
7361.jpg,female,10-19,black,brown,olive,square,straight,medium,soft,0.012
7647.jpg,female,30-39,black,brown,medium,round,straight,medium,soft,0.012
10671.jpg,female,10-19,black,brown,olive,round,straight,medium,soft,0.013
2557.jpg,female,10-19,black,brown,olive,round,straight,medium,soft,0.013
3202.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.013
3571.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.013
4834.jpg,female,50-59,black,brown,dark,square,straight,medium,soft,0.013
5641.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.013
6734.jpg,female,50-59,black,brown,brown,round,straight,medium,soft,0.013
8880.jpg,male,20-29,black,brown,brown,round,straight,medium,soft,0.013
1449.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.014
2757.jpg,female,3-9,black,brown,medium,round,straight,medium,soft,0.014
4024.jpg,female,40-49,black,brown,medium,square,straight,medium,soft,0.014
8750.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.014
8783.jpg,female,30-39,black,brown,olive,square,straight,medium,soft,0.014
9812.jpg,female,30-39,black,brown,fair,round,straight,medium,soft,0.014
9856.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.014
1591.jpg,female,more than 70,black,brown,olive,round,straight,medium,soft,0.015
1623.jpg,female,10-19,black,brown,fair,round,straight,medium,soft,0.015
3327.jpg,female,40-49,black,brown,medium,square,straight,medium,soft,0.015
3383.jpg,female,40-49,black,brown,fair,round,straight,medium,soft,0.015
375.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.015
396.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.015
5960.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.015
6159.jpg,female,50-59,black,brown,brown,round,straight,medium,soft,0.015
10071.jpg,female,30-39,black,brown,fair,round,straight,medium,soft,0.016
109.jpg,male,3-9,black,brown,olive,square,straight,medium,soft,0.016
3146.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.016
424.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.016
4622.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.016
485.jpg,male,0-2,black,brown,fair,round,straight,medium,soft,0.016
5058.jpg,female,30-39,black,brown,fair,square,straight,medium,soft,0.016
6591.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.016
8622.jpg,male,3-9,black,brown,brown,square,straight,medium,soft,0.016
240.jpg,male,3-9,black,brown,olive,round,straight,medium,soft,0.017
3149.jpg,male,more than 70,black,brown,dark,square,straight,medium,soft,0.017
3422.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.017
3523.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.017
5093.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.017
5826.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.017
5836.jpg,female,0-2,black,brown,fair,round,straight,medium,soft,0.017
7464.jpg,female,50-59,black,brown,dark,square,straight,medium,soft,0.017
9494.jpg,female,30-39,black,brown,dark,round,straight,medium,soft,0.017
9992.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.017
10815.jpg,female,30-39,black,brown,fair,round,straight,medium,soft,0.018
1270.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.018
2186.jpg,male,20-29,black,brown,olive,square,straight,medium,soft,0.018
3748.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.018
6561.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.018
7730.jpg,female,30-39,black,brown,fair,square,straight,medium,soft,0.018
7918.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.018
8210.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.018
8301.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.018
8493.jpg,male,30-39,black,brown,olive,square,straight,medium,soft,0.018
9205.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.018
10243.jpg,female,40-49,black,brown,medium,round,straight,medium,soft,0.019
10303.jpg,female,30-39,black,brown,fair,round,straight,medium,soft,0.019
2387.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.019
2478.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.019
2745.jpg,female,60-69,black,brown,brown,round,straight,medium,soft,0.019
3993.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.019
4153.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.019
5994.jpg,male,20-29,black,brown,medium,round,straight,medium,soft,0.019
665.jpg,female,30-39,black,brown,medium,square,straight,medium,soft,0.019
6882.jpg,male,40-49,black,brown,dark,round,straight,medium,soft,0.019
7810.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.019
8389.jpg,male,10-19,black,brown,brown,round,straight,medium,soft,0.019
8499.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.019
9218.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.019
10206.jpg,female,30-39,black,brown,fair,round,straight,medium,soft,0.02
10315.jpg,female,50-59,black,brown,dark,round,straight,medium,soft,0.02
10381.jpg,female,40-49,black,brown,olive,round,straight,medium,soft,0.02
10517.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.02
10656.jpg,female,30-39,black,brown,medium,round,straight,medium,soft,0.02
1971.jpg,male,20-29,black,brown,fair,round,straight,medium,soft,0.02
3016.jpg,female,40-49,black,brown,fair,square,straight,medium,soft,0.02
3238.jpg,male,10-19,black,brown,olive,round,straight,medium,soft,0.02
3458.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.02
3544.jpg,female,40-49,black,brown,fair,round,straight,medium,soft,0.02
3932.jpg,female,40-49,black,brown,brown,round,straight,medium,soft,0.02
4344.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.02
4392.jpg,male,30-39,black,brown,brown,square,straight,medium,soft,0.02
5390.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.02
5404.jpg,male,20-29,black,brown,medium,square,straight,medium,soft,0.02
5693.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.02
6437.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.02
883.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.02
9125.jpg,female,20-29,black,brown,medium,square,straight,medium,soft,0.02
10123.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.021
10861.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.021
3944.jpg,female,30-39,black,brown,dark,round,straight,medium,soft,0.021
5942.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.021
6887.jpg,female,30-39,black,brown,dark,round,straight,medium,soft,0.021
7015.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.021
8778.jpg,female,40-49,black,brown,dark,round,straight,medium,soft,0.021
8934.jpg,female,30-39,black,brown,fair,square,straight,medium,soft,0.021
4567.jpg,female,50-59,black,brown,brown,round,straight,medium,soft,0.022
4910.jpg,male,3-9,black,brown,medium,round,straight,medium,soft,0.022
5231.jpg,female,20-29,black,brown,medium,square,straight,medium,soft,0.022
6643.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.022
7576.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.022
7820.jpg,female,40-49,black,brown,fair,square,straight,medium,soft,0.022
8073.jpg,male,more than 70,black,brown,medium,round,straight,medium,soft,0.022
2516.jpg,male,30-39,black,brown,medium,square,straight,medium,soft,0.023
2522.jpg,female,30-39,black,brown,fair,round,straight,medium,soft,0.023
5127.jpg,female,20-29,black,brown,brown,round,straight,medium,soft,0.023
6542.jpg,female,10-19,black,brown,fair,square,straight,medium,soft,0.023
8122.jpg,male,20-29,black,brown,brown,square,straight,medium,soft,0.023
854.jpg,male,20-29,black,brown,brown,square,straight,medium,soft,0.023
8817.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.023
8952.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.023
2198.jpg,male,40-49,black,brown,medium,square,straight,medium,soft,0.024
3338.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.024
5165.jpg,female,60-69,black,brown,medium,square,straight,medium,soft,0.024
5174.jpg,female,10-19,black,brown,fair,round,straight,medium,soft,0.024
5470.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.024
6315.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.024
898.jpg,female,40-49,black,brown,dark,round,straight,medium,soft,0.024
9446.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.024
9765.jpg,male,10-19,black,brown,olive,round,straight,medium,soft,0.024
1616.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.025
4180.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.025
4562.jpg,female,50-59,black,brown,brown,square,straight,medium,soft,0.025
4750.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.025
5587.jpg,female,60-69,black,brown,brown,round,straight,medium,soft,0.025
5976.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.025
6056.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.025
7352.jpg,male,20-29,black,brown,dark,oval,straight,medium,high,0.025
7952.jpg,male,10-19,black,brown,olive,round,straight,medium,soft,0.025
8456.jpg,male,40-49,black,brown,medium,square,straight,medium,soft,0.025
9065.jpg,male,20-29,black,brown,medium,square,straight,medium,soft,0.025
10187.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.026
10682.jpg,female,30-39,black,brown,brown,square,straight,medium,soft,0.026
1583.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.026
2106.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.026
2452.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.026
327.jpg,male,20-29,black,brown,olive,round,straight,medium,soft,0.026
3956.jpg,male,30-39,black,brown,olive,square,straight,medium,soft,0.026
5157.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.026
6724.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.026
10003.jpg,male,10-19,black,brown,medium,round,straight,medium,soft,0.027
10325.jpg,female,60-69,black,brown,dark,round,straight,medium,soft,0.027
1158.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.027
185.jpg,male,10-19,black,brown,brown,square,straight,medium,soft,0.027
2833.jpg,female,60-69,black,brown,medium,round,straight,medium,soft,0.027
4591.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.027
5813.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.027
6402.jpg,male,3-9,black,brown,brown,square,straight,medium,soft,0.027
7178.jpg,female,40-49,black,brown,olive,round,straight,medium,soft,0.027
8945.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.027
1557.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.028
2619.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.028
6626.jpg,male,30-39,black,brown,olive,round,straight,medium,soft,0.028
8580.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.028
8582.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.028
8703.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.028
9680.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.028
9971.jpg,female,40-49,black,brown,dark,square,straight,medium,soft,0.028
2432.jpg,female,20-29,black,brown,brown,round,straight,medium,soft,0.029
3409.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.029
3432.jpg,female,40-49,black,brown,medium,round,straight,medium,soft,0.029
3446.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.029
3648.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.029
3754.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.029
3907.jpg,female,50-59,black,brown,olive,round,straight,medium,soft,0.029
6225.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.029
6652.jpg,male,60-69,black,brown,medium,square,straight,medium,soft,0.029
8321.jpg,male,30-39,black,brown,brown,square,straight,medium,soft,0.029
8669.jpg,female,30-39,black,brown,olive,square,straight,medium,soft,0.029
10155.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.03
2011.jpg,female,3-9,black,brown,medium,round,straight,medium,soft,0.03
3792.jpg,female,40-49,black,brown,fair,square,straight,medium,soft,0.03
4227.jpg,male,10-19,black,brown,brown,round,straight,medium,soft,0.03
4235.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.03
6006.jpg,female,30-39,black,brown,dark,round,straight,medium,soft,0.03
6269.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.03
7898.jpg,male,40-49,black,brown,fair,round,straight,medium,soft,0.03
850.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.03
10522.jpg,female,10-19,black,brown,fair,round,straight,medium,soft,0.031
1959.jpg,male,30-39,black,brown,olive,square,straight,medium,soft,0.031
3831.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.031
4287.jpg,female,more than 70,black,brown,dark,square,straight,medium,soft,0.031
4343.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.031
4612.jpg,female,0-2,black,brown,medium,round,straight,medium,soft,0.031
5186.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.031
5753.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.031
8416.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.031
9197.jpg,male,50-59,black,brown,dark,square,straight,medium,soft,0.031
10580.jpg,female,60-69,black,brown,fair,square,straight,medium,soft,0.032
1775.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.032
2724.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.032
3494.jpg,male,0-2,black,brown,olive,round,straight,medium,soft,0.032
4425.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.032
583.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.032
6432.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.032
7793.jpg,female,30-39,black,brown,medium,square,straight,medium,soft,0.032
7854.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.032
8895.jpg,female,30-39,black,brown,medium,round,straight,medium,soft,0.032
10112.jpg,male,10-19,black,brown,brown,round,straight,medium,soft,0.033
274.jpg,male,10-19,black,brown,dark,square,straight,medium,soft,0.033
4841.jpg,female,10-19,black,brown,olive,round,straight,medium,soft,0.033
8360.jpg,female,10-19,black,brown,fair,round,straight,medium,soft,0.033
9051.jpg,female,40-49,black,brown,olive,square,straight,medium,soft,0.033
9386.jpg,female,3-9,black,brown,dark,square,straight,medium,soft,0.033
10899.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.034
111.jpg,male,20-29,black,brown,brown,square,straight,medium,soft,0.034
1929.jpg,female,40-49,black,brown,medium,square,straight,medium,soft,0.034
3613.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.034
6927.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.034
8873.jpg,male,20-29,black,brown,olive,square,straight,medium,soft,0.034
10067.jpg,male,20-29,black,brown,medium,round,straight,medium,soft,0.035
10626.jpg,male,40-49,black,brown,fair,square,straight,medium,soft,0.035
3878.jpg,female,20-29,black,brown,dark,square,straight,medium,soft,0.035
5071.jpg,female,0-2,black,brown,brown,round,straight,medium,soft,0.035
5117.jpg,male,10-19,black,brown,brown,square,straight,medium,soft,0.035
6262.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.035
7102.jpg,male,40-49,black,brown,dark,round,straight,medium,soft,0.035
5701.jpg,female,20-29,black,brown,medium,square,straight,medium,soft,0.036
5895.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.036
7641.jpg,male,10-19,black,brown,medium,round,straight,medium,soft,0.036
10519.jpg,female,60-69,black,brown,brown,round,straight,medium,soft,0.037
2225.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.037
2517.jpg,male,20-29,black,brown,olive,square,straight,medium,soft,0.037
5648.jpg,male,30-39,black,brown,medium,round,straight,medium,soft,0.037
6107.jpg,female,50-59,black,brown,brown,square,straight,medium,soft,0.037
6984.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.037
7872.jpg,female,10-19,black,brown,fair,round,straight,medium,soft,0.037
8007.jpg,male,more than 70,black,brown,olive,round,straight,medium,soft,0.037
8095.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.037
8273.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.037
10588.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.038
2613.jpg,male,10-19,black,brown,olive,round,straight,medium,soft,0.038
2773.jpg,male,20-29,black,brown,fair,round,straight,medium,soft,0.038
7271.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.038
904.jpg,female,50-59,black,brown,brown,oblong,straight,medium,soft,0.038
10089.jpg,female,20-29,black,brown,brown,round,straight,medium,soft,0.039
4876.jpg,female,20-29,black,brown,olive,square,straight,medium,soft,0.039
6008.jpg,female,50-59,black,brown,fair,square,straight,medium,soft,0.039
6803.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.039
8666.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.039
10823.jpg,male,60-69,black,brown,dark,round,straight,medium,soft,0.04
2099.jpg,male,20-29,black,brown,medium,square,straight,medium,soft,0.04
2488.jpg,female,40-49,black,brown,fair,square,straight,medium,soft,0.04
4636.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.04
6097.jpg,male,60-69,black,brown,olive,round,straight,medium,soft,0.04
7051.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.04
10887.jpg,male,10-19,black,brown,olive,square,straight,medium,soft,0.041
2403.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.041
4998.jpg,female,10-19,black,brown,olive,round,straight,medium,soft,0.041
5183.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.041
5816.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.041
8119.jpg,female,20-29,black,brown,brown,round,straight,medium,soft,0.041
9902.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.041
5326.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.042
9946.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.042
10099.jpg,female,50-59,black,brown,fair,round,straight,medium,soft,0.043
10122.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.043
2325.jpg,female,3-9,black,brown,brown,square,straight,medium,soft,0.043
4655.jpg,male,60-69,black,brown,brown,square,straight,medium,soft,0.043
5604.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.043
6917.jpg,male,3-9,black,brown,medium,round,straight,medium,soft,0.043
7030.jpg,female,40-49,black,brown,olive,square,straight,medium,soft,0.043
7823.jpg,male,40-49,black,brown,dark,round,straight,medium,soft,0.043
8458.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.043
8716.jpg,female,20-29,black,brown,brown,square,straight,medium,soft,0.043
2126.jpg,female,60-69,black,brown,brown,oval,straight,medium,high,0.044
2205.jpg,male,20-29,black,brown,medium,round,straight,medium,soft,0.044
2712.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.044
4481.jpg,female,50-59,black,brown,olive,round,straight,medium,soft,0.044
6554.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.044
7986.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.044
8815.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.044
2596.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.045
